classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
4,-3830,-17731,-16762,-8013,-23088,-32768,-2476,3180,-17832,-2340,1590,222,150,65266,592,7,-5456
4,623,901,-18100,-669,123,-190,-13668,8408,-16192,-20953,11675,18946,65490,65513,460,7,-5440
4,14565,6145,-7320,-4605,6618,10847,16060,-3276,-3672,-6355,3297,4571,181,89,359,7,-5440
4,12479,-4848,-3339,-5917,-593,1780,11952,-8340,-8948,3402,-15157,2756,193,65293,579,7,-5440
4,3225,-11088,-15557,5321,-25087,-30010,-10708,18656,-25008,4561,-2710,5850,166,65227,603,7,-5408
4,-624,3157,-14959,-7125,-419,8988,5604,8228,-17752,-2732,10536,17018,51,19,460,7,-5408
4,12455,-1333,-939,-7031,4168,4874,19276,-10208,-3012,-2491,337,43,144,98,363,7,-5424
4,14138,-4103,-1000,-7577,-2562,4746,8296,-11800,-7520,6057,-21919,-7347,207,65134,606,7,-5408
4,-8913,-15279,-18600,-9500,-14028,-32768,-5676,2292,-18644,-418,-315,-455,168,65210,600,7,-5440
4,-1475,3648,-16734,-8263,1090,14690,816,4988,-18676,-4492,14107,16992,85,65505,499,7,-5424
4,13104,-3491,-1442,-946,3826,3818,17260,-10252,-7024,-4576,-1743,-410,134,89,376,7,-5456
5,16369,-4124,-3905,-13402,3936,11156,19120,-8728,-3160,-4822,-1193,3079,215,27,408,7,-5440
5,14391,-10973,-7865,4428,-6586,3261,-13768,-15464,-7636,-22466,-2171,-32768,65454,65466,471,7,-5440
5,6821,19437,-12727,-774,-1338,2520,6228,22428,-13072,-3070,5143,21050,31,48,428,7,-5472
5,11321,-2400,-4203,-3272,3572,4068,17076,-10196,-1316,-8816,1079,-847,159,69,391,7,-5456
5,13842,-4414,-2081,-6113,-1416,4143,7708,-14084,-10280,18351,-18662,-12084,301,65345,509,7,-5456
5,-2281,22978,-8892,370,5496,-21663,7092,12912,-8780,-3339,232,2135,65477,65516,439,7,-5456
5,9649,23498,-9692,-15105,4985,14616,9644,-2640,-4356,-1317,1745,2791,159,92,372,7,-5440
5,21338,-4199,-2873,-1937,-1816,1310,15344,-4096,-5304,-2709,-1188,3059,136,63,403,7,-5456
5,11138,-11120,-7396,16622,-15882,-2236,2136,32767,-6400,3905,5840,-15018,65501,65482,472,7,-5472
5,6675,9304,-12015,-211,237,3191,5468,20044,-10364,-18019,3567,10345,65483,163,271,7,-5472
5,10291,1804,-2464,-5454,-429,6732,24328,-9680,-4956,-3117,-3003,840,98,85,393,14,-5440
5,14536,-2397,-3744,-5440,-2882,5494,10012,-12000,-7856,12045,-15838,-5903,325,65301,508,16,-5472
5,1332,29492,-4715,13062,596,-20696,7852,12080,-13884,824,2274,3104,65510,65523,455,17,-5456
5,5006,21618,-9395,-23238,-157,11193,7208,-3620,-10536,1215,3840,2743,122,67,412,18,-5472
5,17828,-8901,1004,-6316,-2498,-2115,14908,-6600,-5800,2696,-6318,3518,136,65532,468,19,-5472
5,9556,-8388,-7782,11586,-12190,-2773,-19188,13780,-4684,-12016,5897,-32288,65520,65497,470,20,-5488
5,8678,13095,-14542,-15,628,5445,5180,15900,-2668,-5659,1969,6747,65469,124,327,21,-5456
5,11995,3979,-4183,1036,-4198,8383,23532,-8976,-9732,-2497,1751,1259,73,60,415,22,-5488
5,15706,-6015,-4562,3435,-5779,10754,4380,-15148,-6056,3999,-17062,-15202,312,65278,528,23,-5440
5,23363,32767,-15385,1385,302,-12608,15620,12504,-14428,-25530,4173,13445,65513,18,436,24,-5472
6,18059,-9055,-7836,24396,-1029,16279,8592,-11012,7996,32767,-10912,32767,120,65183,65189,27,-5472
6,-13001,-4727,15893,-3509,1547,2584,-184,-6580,16328,-21798,10601,-21970,162,65313,65211,28,-5504
6,3201,-14128,6297,-31338,14845,-26442,11344,-4304,-4380,-13605,5753,-1396,203,123,291,28,-5504
6,17959,-4633,-2250,-4327,-1058,-1825,15680,-7540,-4208,5182,-2928,8530,267,36,349,28,-5504
6,8215,-8311,3964,18216,-10839,16162,-132,-8928,10464,3215,-8746,32767,29,65414,65187,28,-5472
6,-3457,-3565,14107,-5759,632,1651,1120,-17388,6836,-32768,25620,-17636,423,65399,224,28,-5472
6,13374,-7425,393,-18494,6564,-8572,14656,-4068,1772,-3076,-1719,-1438,178,109,327,28,-5472
6,17927,-2463,254,-4088,372,2801,18400,-13184,-6384,27073,-8627,12064,462,65258,170,28,-5488
6,2147,-11793,890,32767,-9315,32767,-1684,-19948,11196,3115,3104,-3920,63,65408,65192,28,-5488
6,-3789,-9130,12663,-32763,12933,-27919,11984,-9284,-10388,-19198,15445,-5209,232,92,308,28,-5472
6,13649,1834,1221,-3452,1395,2450,14568,-7564,-2392,-4060,-1181,4261,226,67,356,28,-5472
6,11617,-4489,3216,-2208,2140,1459,12432,-15876,-320,19079,-11439,13251,472,65193,177,28,-5488
6,1380,-11150,9176,32142,-11350,32767,-204,-14376,11988,-3410,2986,-4294,69,65390,65188,35,-5520
6,-2083,-12307,10907,-24637,18717,-29213,4856,-15032,-2344,-22940,20348,-8127,289,38,325,35,-5488
6,11050,-7069,10952,-8072,-1110,-6174,17716,-1932,-2096,-3594,336,7071,181,116,327,35,-5504
6,12040,-15010,309,28893,-18553,31330,-18324,-8276,16384,-16427,-11891,29823,82,65434,65204,35,-5472
6,-1286,-3771,16724,-17290,4971,-16174,-208,-16400,-5012,-28730,29178,-11228,375,65486,280,35,-5440
6,9925,-5422,2006,-15439,395,-7076,19556,-5364,-4424,-334,-805,511,98,149,313,35,-5504
